replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
1,220,1545,100.2,92.88,#NOM?,0.06833,1.079,1179,72.88,74.5,#NOM?,0.03001,0.9782,0.1111,148,57,60,85,117,0,156,126,53,142,69,71,76,88,0,127,126,44,111,42,52,55,84,0,111,91,37,111,44,48,55,94,0,111,87,46,219,219,219,219,219,0,219,219,219,194,0.1111,0.5083,0.4698,0.55,0.5007,0.4688,0.532
1,225,1772,111.1,110.4,#NOM?,0.02367,1.007,1280,80.75,79.25,#NOM?,0.02177,1.019,0.1111,128,67,103,62,133,0,163,161,72,147,71,94,86,123,0,141,150,71,111,55,73,55,85,0,111,111,45,111,55,55,55,93,0,111,111,43,224,224,224,224,224,0,224,224,224,199,0.1111,0.5008,0.4793,0.5225,0.5026,0.4745,0.5313
1,230,1745,111.1,107,#NOM?,0.05349,1.039,1316,81.88,82.62,#NOM?,0.01144,0.9909,0.1111,163,61,89,93,144,0,149,130,60,168,55,92,78,106,0,137,164,56,111,43,80,55,89,0,111,111,55,111,45,88,55,85,0,111,111,55,229,229,229,229,229,0,229,229,229,203,0.1111,0.501,0.4658,0.5375,0.4989,0.4717,0.5259
1,235,1802,111.8,113.5,#NOM?,0.01989,0.9846,1321,83.25,81.88,#NOM?,0.01382,1.017,0.1111,147,82,108,87,117,0,137,149,67,157,71,106,71,141,0,149,141,72,111,53,82,55,88,0,111,111,55,111,55,67,55,90,0,111,111,55,234,234,234,234,234,0,234,234,234,208,0.1111,0.5023,0.4739,0.5302,0.5003,0.4749,0.5261
1,240,1610,99.25,102,#NOM?,0.09117,0.973,1180,74,73.5,#NOM?,0.02955,1.007,0.1111,175,56,66,79,100,0,151,114,53,154,57,59,78,107,0,172,140,49,111,44,59,55,78,0,111,89,45,111,44,41,55,94,0,111,89,43,239,239,239,239,239,0,239,239,239,212,0.1111,0.5056,0.4684,0.5417,0.5003,0.4691,0.5317
1,245,1643,101.6,103.8,#NOM?,0.07345,0.9795,1178,74.25,73,#NOM?,0.02588,1.017,0.1111,143,74,41,80,108,0,163,140,64,145,73,74,74,136,0,151,113,64,111,48,49,55,88,0,111,90,42,111,40,65,55,76,0,111,88,38,244,244,244,244,244,0,244,244,244,216,0.1111,0.5125,0.4933,0.5313,0.5125,0.4777,0.5479
1,250,1649,101.5,104.6,#NOM?,0.07856,0.9701,1238,76.88,77.88,#NOM?,0.04086,0.9872,0.1111,135,63,46,81,145,0,127,159,56,140,89,61,78,111,0,145,137,76,111,55,44,55,83,0,111,111,45,111,55,42,55,95,0,111,111,43,249,249,249,249,249,0,249,249,249,221,0.1111,0.5136,0.5018,0.525,0.5102,0.4934,0.5269
1,255,1629,104.8,98.88,#NOM?,0.132,1.059,1162,73.25,72,#NOM?,0.05666,1.017,0.1111,150,80,34,89,132,0,167,126,60,143,89,32,71,126,0,136,140,54,111,55,26,55,90,0,111,94,44,111,55,30,55,88,0,111,84,42,254,254,254,254,254,0,254,254,254,225,0.1111,0.5085,0.4903,0.5277,0.5194,0.5001,0.539
1,260,1599,99.62,100.2,#NOM?,0.1387,0.9938,1156,72.62,71.88,#NOM?,0.06185,1.01,0.1111,139,84,32,74,149,0,132,129,58,160,91,27,81,122,0,149,111,61,111,55,23,55,88,0,111,94,44,111,55,25,55,90,0,111,84,44,259,259,259,259,259,0,259,259,259,230,0.1111,0.5232,0.5124,0.534,0.5175,0.502,0.5332
1,265,1542,95.25,97.5,#NOM?,0.09313,0.9769,1149,71.62,72,#NOM?,0.04444,0.9948,0.1111,145,78,52,71,120,0,152,101,43,131,63,46,84,136,0,147,129,44,111,46,36,55,88,0,111,91,35,111,42,35,55,90,0,111,87,45,264,264,264,264,264,0,264,264,264,234,0.1111,0.4975,0.4775,0.5171,0.504,0.4808,0.527
