replicate generation off.nbr off.nbfem off.nbmal off.density off.dvar off.sexratio adlt.nbr adlt.nbfem adlt.nbmal adlt.density adlt.dvar adlt.sexratio extrate off.disp off.fdisp off.mdisp adlt.disp adlt.fdisp adlt.mdisp off.allnbp off.allnb off.fixlocp off.fixloc off.ho off.hsnei off.htnei off.fis off.fst off.fit adlt.allnbp adlt.allnb adlt.fixlocp adlt.fixloc adlt.ho adlt.hsnei adlt.htnei adlt.fis adlt.fst adlt.fit
2 105 2589 1286 1303 1.294 0 0.987 2000 1000 1000 1 0 1 0 0.5029 0.0984 0.9021 0.5003 0.09881 0.9019 1.55 1.55 10 10 0.0002511 0.000251 0.000251 -8.918e-05 0 -8.918e-05 1.4 1.4 12 12 0.00025 0.00025 0.00025 -0.0001501 0 -0.0001501
2 110 2601 1318 1283 1.3 0 1.027 2000 1000 1000 1 0 1 0 0.4947 0.09819 0.9019 0.5001 0.09822 0.902 1.85 1.85 6 6 0.0004037 0.0004036 0.0004036 -0.0001282 0 -0.0001282 1.5 1.5 11 11 0.000375 0.0003748 0.0003748 -0.0004504 -2.22e-16 -0.0004504
2 115 2576 1336 1240 1.288 0 1.077 2000 1000 1000 1 0 1 0 0.4853 0.0984 0.9022 0.5003 0.0986 0.902 1.55 1.55 10 10 0.000427 0.0004269 0.0004269 -0.0003355 0 -0.0003355 1.8 1.8 6 6 0.00075 0.0007497 0.0007497 -0.0004588 0 -0.0004588
2 120 2580 1264 1316 1.29 0 0.9605 2000 1000 1000 1 0 1 0 0.5087 0.09905 0.9021 0.5005 0.09887 0.9021 1.5 1.5 12 12 0.0002519 0.0002519 0.0002519 -0.0001342 0 -0.0001342 1.5 1.5 12 12 0.000425 0.0004248 0.0004248 -0.000368 -2.22e-16 -0.000368
2 125 2560 1227 1333 1.28 0 0.9205 2000 1000 1000 1 0 1 0 0.5168 0.09826 0.902 0.5002 0.09862 0.9018 1.5 1.5 11 11 0.0002539 0.0002539 0.0002539 -0.0001052 0 -0.0001052 1.65 1.65 7 7 0.000425 0.0004249 0.0004249 -0.0001472 -2.22e-16 -0.0001472
2 130 2614 1319 1295 1.307 0 1.019 2000 1000 1000 1 0 1 0 0.4965 0.09836 0.902 0.5 0.09821 0.9018 1.65 1.65 9 9 0.0004591 0.0004589 0.0004589 -0.000311 0 -0.000311 1.6 1.6 10 10 0.00035 0.00035 0.00035 -0.0001072 0 -0.0001072
2 135 2533 1262 1271 1.266 0 0.9929 2000 1000 1000 1 0 1 0 0.5018 0.09889 0.9019 0.5004 0.09864 0.9022 1.45 1.45 12 12 0.0002566 0.0002566 0.0002566 -0.0001823 0 -0.0001823 1.3 1.3 15 15 0.000175 0.000175 0.000175 -0.0001429 0 -0.0001429
2 140 2506 1243 1263 1.253 0 0.9842 2000 1000 1000 1 0 1 0 0.5034 0.09834 0.902 0.5002 0.09832 0.902 1.7 1.7 10 10 0.0005188 0.0005185 0.0005185 -0.0004455 -2.22e-16 -0.0004455 1.6 1.6 10 10 0.0008 0.000799 0.000799 -0.001244 -2.22e-16 -0.001244
2 145 2526 1263 1263 1.263 0 1 2000 1000 1000 1 0 1 0 0.4849 0.06763 0.9022 0.4946 0.08699 0.9023 1.6 1.6 9 9 0.0003365 0.0003365 0.0003365 -0.0001398 0 -0.0001398 1.4 1.4 12 12 0.00035 0.0003499 0.0003499 -0.0003574 -2.22e-16 -0.0003574
2 150 2632 1355 1277 1.316 0 1.061 2000 1000 1000 1 0 1 0 0.4667 0.05638 0.902 0.483 0.06414 0.9018 1.55 1.55 9 9 0.0003419 0.0003419 0.0003419 -0.0001901 0 -0.0001901 1.65 1.65 8 8 0.00035 0.00035 0.00035 -5.36e-05 -2.22e-16 -5.36e-05
2 155 1841 939 902 0.9205 0 1.041 1413 699 714 0.7065 0 0.979 0 0.4727 0.06036 0.902 0.4905 0.06991 0.9023 1.4 1.4 12 12 0.0003531 0.0003529 0.0003529 -0.0003764 1.11e-16 -0.0003764 1.4 1.4 13 13 0.0003185 0.0003184 0.0003184 -0.000118 0 -0.000118
2 160 1276 658 618 0.638 0 1.065 983 503 480 0.4915 0 1.048 0 0.438 0.002389 0.9019 0.4428 0.005833 0.9007 1.3 1.3 14 14 0.0005094 0.000509 0.000509 -0.0007849 0 -0.0007849 1.3 1.3 14 14 0.0005595 0.0005591 0.0005591 -0.0006484 0 -0.0006484
2 165 761 395 366 0.3805 0 1.079 599 300 299 0.2995 0 1.003 0 0.4343 0.0005291 0.9025 0.4506 0.0005328 0.9021 1.2 1.2 17 17 0.0002628 0.0002628 0.0002628 -0.0001645 2.22e-16 -0.0001645 1.25 1.25 17 17 0.0005008 0.0005005 0.0005005 -0.0006973 0 -0.0006973
2 170 514 287 227 0.257 0 1.264 393 189 204 0.1965 0 0.9265 0 0.3984 0 0.9021 0.4688 0.001059 0.9021 1.4 1.4 13 13 0.001265 0.001263 0.001263 -0.001276 -2.22e-16 -0.001276 1.2 1.2 16 16 0.0006361 0.0006358 0.0006358 -0.0005105 -2.22e-16 -0.0005105
2 175 418 216 202 0.209 0 1.069 340 172 168 0.17 0 1.024 0 0.436 0 0.9021 0.446 0.0004103 0.9021 1.15 1.15 17 17 0.0004785 0.0004782 0.0004782 -0.0005999 0 -0.0005999 1.35 1.35 14 14 0.001029 0.001029 0.001029 -0.0002107 0 -0.0002107
2 180 375 178 197 0.1875 0 0.9036 275 140 135 0.1375 0 1.037 0 0.4747 0.001334 0.9024 0.4437 0.00163 0.9021 1.2 1.2 16 16 0.001333 0.00133 0.00133 -0.002681 0 -0.002681 1.2 1.2 16 16 0.0007273 0.0007273 0.0007273 3.775e-15 1.11e-16 3.886e-15
2 185 263 136 127 0.1315 0 1.071 193 103 90 0.0965 0 1.144 0 0.4358 0 0.9025 0.4207 0 0.9021 1.35 1.35 13 13 0.001901 0.001898 0.001898 -0.001529 0 -0.001529 1.2 1.2 16 16 0.001036 0.001036 0.001036 9.992e-16 2.22e-16 1.221e-15
2 190 193 95 98 0.0965 0 0.9694 138 74 64 0.069 0 1.156 0 0.4581 0 0.9021 0.4184 0 0.9021 1.05 1.05 19 19 0.0002591 0.0002591 0.0002591 1.887e-15 2.22e-16 2.109e-15 1.05 1.05 19 19 0.0003623 0.0003623 0.0003623 6.883e-15 -2.22e-16 6.772e-15
2 195 153 74 79 0.0765 0 0.9367 104 50 54 0.052 0 0.9259 0 0.4652 0 0.901 0.4684 0 0.9021 1 1 20 20 0 0 0 nan nan nan 1 1 20 20 0 0 0 nan nan nan
2 200 75 39 36 0.0375 0 1.083 63 27 36 0.0315 0 0.75 0 0.433 0 0.9021 0.5155 0 0.9021 1 1 20 20 0 0 0 nan nan nan 1 1 20 20 0 0 0 nan nan nan
2 205 317 171 146 0.1585 0 1.171 216 112 104 0.108 0 1.077 0 0.4156 0.0001156 0.9022 0.4344 0 0.9021 1.15 1.15 17 17 0.0007886 0.0007876 0.0007876 -0.001267 0 -0.001267 1.1 1.1 18 18 0.000463 0.000463 0.000463 -3.708e-14 -2.22e-16 -3.708e-14
